Nature mutation,Valeur fonciere,Type local,Nombre pieces principales,Surface,Latitude,Longitude
Vente,460000.0,Appartement,2,34.6,48.8715802,2.3264341
Vente,323000.0,Appartement,1,27.17,48.8613053,2.3431027
Vente,163000.0,Appartement,1,13.33,48.884466,2.3148836
Vente,275000.0,Appartement,1,25.8,48.8864979,2.3171173
Vente,305000.0,Appartement,2,53.62,48.8562687,2.4053077
Vente,237410.0,Appartement,1,22.19,48.8795401,2.2964435
Vente,185700.0,Appartement,1,17.81,48.8781147,2.3302552
Vente,390000.0,Appartement,2,28.61,48.8597998,2.367285
Vente,421000.0,Appartement,2,43.19,48.8874682,2.3478782
Vente,600000.0,Appartement,2,42.74,48.8661015,2.3456106
Vente,298395.72,Appartement,2,31.46,48.8787744,2.3974122
Vente,184915.0,Appartement,2,15.89,48.8790196,2.3851199
Vente,102000.0,Appartement,1,8.03,48.8516679,2.4013716
Vente,130000.0,Appartement,1,8.57,48.8631641,2.360545
Vente,315000.0,Appartement,2,28.57,48.8816075,2.2963342
Vente,1755800.0,Appartement,4,98.17,48.8734658,2.3242564
Vente,520000.0,Appartement,3,51.24,48.8801974,2.3623977
Vente,324205.0,Appartement,2,30.69,48.8912887,2.3451161
Vente,340410.0,Appartement,1,26.71,48.8646085,2.3563382
Vente,220000.0,Appartement,1,24.68,48.8909933,2.3606958
Vente,279000.0,Appartement,1,32.19,48.8883808,2.3504154
Vente,300000.0,Appartement,1,10.0,48.8846263,2.3522442
Vente,300000.0,Appartement,1,33.06,48.8846263,2.3522442
Vente,300000.0,Appartement,1,13.0,48.8846263,2.3522442
Vente,389662.0,Appartement,2,30.0,48.8835223,2.2909182
Vente,350000.0,Appartement,1,41.3,48.8796956,2.3314816
Vente,447000.0,Appartement,2,42.14,48.875668,2.387958
Vente,381450.0,Appartement,1,35.04,48.8510304,2.4031419
Vente,1322367.0,Appartement,5,107.93,48.88457,2.2910077
Vente,245000.0,Appartement,1,19.14,48.8799818,2.3269466
Vente,890000.0,Appartement,3,67.0,48.8777314,2.3374496
Vente,341610.0,Appartement,2,36.0,48.8969592,2.3300137
Vente,115000.0,Appartement,1,33.5,48.8690825,2.3042395
Vente,109500.0,Appartement,1,9.68,48.8844255,2.3242819
